Date,Time,Court,Team A,Team B,Score A,Score B
2024-08-01,9:00 AM,Court A,Thunder Spikers,Volley Vipers,17,24
2024-08-02,11:00 AM,Court B,Thunder Spikers,Net Ninjas,19,16
2024-08-03,1:00 PM,Court C,Thunder Spikers,Spike Squad,18,10
2024-08-04,3:00 PM,Court D,Thunder Spikers,Block Busters,20,24
2024-08-05,9:00 AM,Court A,Thunder Spikers,Ace Warriors,17,15
2024-08-06,11:00 AM,Court B,Thunder Spikers,Storm Setters,17,21
2024-08-07,1:00 PM,Court C,Thunder Spikers,Jump Serve Kings,19,12
2024-08-08,3:00 PM,Court D,Thunder Spikers,Power Diggers,24,22
2024-08-09,9:00 AM,Court A,Thunder Spikers,Smash Force,20,18
2024-08-10,11:00 AM,Court B,Thunder Spikers,The Rotators,17,13
2024-08-11,1:00 PM,Court C,Thunder Spikers,Skyline Smashers,15,12
2024-08-12,3:00 PM,Court D,Thunder Spikers,Rapid Fire,17,22
2024-08-13,9:00 AM,Court A,Thunder Spikers,Net Rippers,15,11
2024-08-14,11:00 AM,Court B,Thunder Spikers,Crimson Crushers,16,14
2024-08-01,1:00 PM,Court C,Thunder Spikers,Sunset Spikes,23,19
2024-08-02,3:00 PM,Court D,Thunder Spikers,Hard Hitters,15,13
2024-08-03,9:00 AM,Court A,Thunder Spikers,Momentum Makers,23,10
2024-08-04,11:00 AM,Court B,Thunder Spikers,Phantom Blocks,23,17
2024-08-05,1:00 PM,Court C,Thunder Spikers,Gravity Defiers,18,18
2024-08-06,3:00 PM,Court D,Thunder Spikers,The Line Judges,17,14
2024-08-07,9:00 AM,Court A,Thunder Spikers,Volley Hawks,17,23
2024-08-08,11:00 AM,Court B,Thunder Spikers,Flame Servers,18,11
2024-08-09,1:00 PM,Court C,Thunder Spikers,Metro Setters,15,11
2024-08-10,3:00 PM,Court D,Thunder Spikers,Ocean Blazers,20,18
2024-08-11,9:00 AM,Court A,Thunder Spikers,Serve Syndicate,25,20
2024-08-12,11:00 AM,Court B,Thunder Spikers,Urban Aces,23,14
2024-08-13,1:00 PM,Court C,Thunder Spikers,Jungle Jumpers,21,18
2024-08-14,3:00 PM,Court D,Thunder Spikers,Volley Falcons,17,10
2024-08-01,9:00 AM,Court A,Thunder Spikers,Titan Smash,24,24
2024-08-02,11:00 AM,Court B,Thunder Spikers,Circuit Setters,21,10
2024-08-03,1:00 PM,Court C,Thunder Spikers,Team Elevate,23,10
2024-08-04,3:00 PM,Court D,Thunder Spikers,Cross Court,23,19
2024-08-05,9:00 AM,Court A,Thunder Spikers,City Spikers,22,17
2024-08-06,11:00 AM,Court B,Thunder Spikers,Quick Sets,19,15
2024-08-07,1:00 PM,Court C,Thunder Spikers,Blazing Blocks,18,16
2024-08-08,3:00 PM,Court D,Thunder Spikers,Vertical Velocity,17,20
2024-08-09,9:00 AM,Court A,Thunder Spikers,Metro Titans,22,14
2024-08-10,11:00 AM,Court B,Thunder Spikers,Island Attackers,20,15
2024-08-11,1:00 PM,Court C,Thunder Spikers,Air Serve,17,23
2024-08-12,3:00 PM,Court D,Thunder Spikers,Southside Smashers,23,14
2024-08-13,9:00 AM,Court A,Thunder Spikers,Golden Netters,20,20
2024-08-14,11:00 AM,Court B,Thunder Spikers,West Wind Warriors,18,23
2024-08-01,1:00 PM,Court C,Thunder Spikers,Velocity Spikers,24,24
2024-08-02,3:00 PM,Court D,Thunder Spikers,River Ralliers,22,14
2024-08-03,9:00 AM,Court A,Thunder Spikers,Sky Jumpers,21,17
2024-08-04,11:00 AM,Court B,Thunder Spikers,Coastal Clash,20,19
2024-08-05,1:00 PM,Court C,Thunder Spikers,Urban Flyers,22,20
2024-08-06,3:00 PM,Court D,Thunder Spikers,Empire Blockers,24,10
2024-08-07,9:00 AM,Court A,Thunder Spikers,Highland Hitters,21,14
2024-08-08,11:00 AM,Court B,Thunder Spikers,Volcano Setters,20,17
2024-08-09,1:00 PM,Court C,Thunder Spikers,Rolling Thunder,20,14
2024-08-10,3:00 PM,Court D,Thunder Spikers,Capital Spikes,17,15
2024-08-11,9:00 AM,Court A,Thunder Spikers,Steel Serve,22,19
2024-08-12,11:00 AM,Court B,Thunder Spikers,Northern Storm,24,10
2024-08-13,1:00 PM,Court C,Thunder Spikers,Delta Smash,22,20
2024-08-14,3:00 PM,Court D,Thunder Spikers,Rapid Sets,24,20
2024-08-01,9:00 AM,Court A,Thunder Spikers,Star Defenders,23,17
2024-08-02,11:00 AM,Court B,Thunder Spikers,Iron Diggers,16,15
2024-08-03,1:00 PM,Court C,Thunder Spikers,Crush Crew,21,20
2024-08-04,3:00 PM,Court D,Thunder Spikers,Volley Pulse,21,24
2024-08-05,9:00 AM,Court A,Thunder Spikers,Match Point,18,22
2024-08-06,11:00 AM,Court B,Thunder Spikers,Serve & Destroy,22,23
2024-08-07,1:00 PM,Court C,Thunder Spikers,Final Setters,16,12
2024-08-08,3:00 PM,Court D,Thunder Spikers,The Eliminators,24,15
2024-08-09,9:00 AM,Court A,Thunder Spikers,Back Row Bombers,15,23
2024-08-10,11:00 AM,Court B,Thunder Spikers,City Smash,15,11
2024-08-11,1:00 PM,Court C,Thunder Spikers,Serve Strikers,18,18
2024-08-12,3:00 PM,Court D,Thunder Spikers,Heatwave,19,22
2024-08-13,9:00 AM,Court A,Thunder Spikers,Wild Net Warriors,19,19
2024-08-14,11:00 AM,Court B,Thunder Spikers,North Net Force,17,12
2024-08-01,1:00 PM,Court C,Thunder Spikers,Valley Spikes,19,23
2024-08-02,3:00 PM,Court D,Thunder Spikers,Hilltop Hustlers,16,11
2024-08-03,9:00 AM,Court A,Thunder Spikers,Gridiron Gravity,15,16
2024-08-04,11:00 AM,Court B,Thunder Spikers,Smash Syndicate,24,11
2024-08-05,1:00 PM,Court C,Thunder Spikers,Volley Vortex,15,11
2024-08-06,3:00 PM,Court D,Thunder Spikers,Kingpins,24,13
2024-08-07,9:00 AM,Court A,Thunder Spikers,East End Hitters,18,23
2024-08-08,11:00 AM,Court B,Thunder Spikers,Golden Line,16,17
2024-08-09,1:00 PM,Court C,Thunder Spikers,Topspin Titans,18,21
2024-08-10,3:00 PM,Court D,Thunder Spikers,Rolling Net,15,15
2024-08-11,9:00 AM,Court A,Thunder Spikers,Alpha Aces,20,21
2024-08-12,11:00 AM,Court B,Volley Vipers,Net Ninjas,19,18
