Team Name,Points,Wins
Thunder Spikers,2,3
Volley Vipers,7,2
Net Ninjas,7,6
Spike Squad,2,7
Block Busters,6,0
Ace Warriors,8,8
Storm Setters,3,4
Jump Serve Kings,5,8
Power Diggers,4,7
Smash Force,1,1
The Rotators,7,4
Skyline Smashers,16,5
Rapid Fire,23,4
Net Rippers,8,5
Crimson Crushers,15,5
Sunset Spikes,8,1
Hard Hitters,17,2
Momentum Makers,16,8
Phantom Blocks,14,6
Gravity Defiers,22,3
The Line Judges,9,8
Volley Hawks,7,6
Flame Servers,10,8
Metro Setters,7,4
Ocean Blazers,20,8
Serve Syndicate,23,6
Urban Aces,15,3
Jungle Jumpers,23,5
Volley Falcons,2,0
Titan Smash,7,4
Circuit Setters,3,6
Team Elevate,15,6
Cross Court,8,5
City Spikers,24,6
Quick Sets,0,1
Blazing Blocks,4,0
Vertical Velocity,14,7
Metro Titans,23,0
Island Attackers,18,7
Air Serve,1,7
Southside Smashers,8,2
Golden Netters,4,8
West Wind Warriors,0,4
Velocity Spikers,12,7
River Ralliers,2,5
Sky Jumpers,21,6
Coastal Clash,10,1
Urban Flyers,4,6
Empire Blockers,8,1
Highland Hitters,13,4
Volcano Setters,22,5
Rolling Thunder,1,7
Capital Spikes,15,2
Steel Serve,18,2
Northern Storm,13,0
Delta Smash,18,3
Rapid Sets,14,8
Star Defenders,9,3
Iron Diggers,11,5
Crush Crew,21,6
Volley Pulse,7,5
Match Point,24,8
Serve & Destroy,5,0
Final Setters,15,6
The Eliminators,24,5
Back Row Bombers,4,6
City Smash,6,7
Serve Strikers,9,8
Heatwave,22,2
Wild Net Warriors,5,3
North Net Force,12,6
Valley Spikes,0,8
Hilltop Hustlers,5,8
Gridiron Gravity,5,7
Smash Syndicate,7,2
Volley Vortex,18,3
Kingpins,4,0
East End Hitters,10,2
Golden Line,10,3
Topspin Titans,15,5
Rolling Net,7,0
Alpha Aces,6,3
